agegroup_broad,epi_year,parname,par_bin,varname,parvalue,mean_parvalue,median,mean,ci50_l,ci50_u,ci95_l,ci95_u
1-2y,2020-21,seasforce_peak,3,peak_hosp_norm,0.6197106276014892,0.6197106276014892,2.0280635454993874,2.122458754906545,1.4317715442919752,2.709899913964801,0.9841936519451244,3.8476717721510623
1-2y,2020-21,seasforce_peak,4,hosp_tot_norm,0.7720846435094191,0.7720846435094191,1.7416990027825527,1.7644260364608932,1.6503425322101881,1.858801505104911,1.5330725803637684,2.1164190182886937
1-2y,2020-21,seasforce_peak,4,peak_hosp_norm,0.7720846435094191,0.7720846435094191,2.0387995357320516,2.1560689216080813,1.3756406391317455,2.8564281052860565,0.8046940348493934,3.9492877764208045
1-2y,2020-21,seasforce_peak,5,hosp_tot_norm,0.9010148663682758,0.9010148663682758,1.734338333893349,1.7535761690884437,1.6236355835999587,1.858455490049328,1.5083856009765526,2.1241296228264064
1-2y,2020-21,seasforce_peak,5,peak_hosp_norm,0.9010148663682758,0.9010148663682758,2.271562491383194,2.3271701461461487,1.4614476865064856,3.1335854392107745,0.7467958252764142,4.152601308206449
1-2y,2020-21,seasforce_peak,6,hosp_tot_norm,1.0198903551184673,1.0198903551184673,1.7508789001509553,1.764363375559002,1.6309559292369582,1.8715006012710855,1.5053658953280507,2.1512509393383095
1-2y,2020-21,seasforce_peak,6,peak_hosp_norm,1.0198903551184673,1.0198903551184673,2.5613071681195985,2.5126701942488845,1.5936683641570129,3.368426946209653,0.6494310545710678,4.434047413696273
1-2y,2020-21,seasforce_peak,7,hosp_tot_norm,1.1276134187468205,1.1276134187468205,1.7535475253942951,1.7702128040886174,1.628549265002306,1.8908433448004993,1.515711023823945,2.1451654341394333
1-2y,2020-21,seasforce_peak,7,peak_hosp_norm,1.1276134187468205,1.1276134187468205,2.6651104124876728,2.6295086204465226,1.7875429561174845,3.5216528145603756,0.6587238908287741,4.4416120103751435
1-2y,2020-21,seasforce_peak,8,hosp_tot_norm,1.2332535723679419,1.2332535723679419,1.7531829448424028,1.7723528525124372,1.6240095510626733,1.8899787246904816,1.491552631549417,2.167627722305121
1-2y,2020-21,seasforce_peak,8,peak_hosp_norm,1.2332535723679419,1.2332535723679419,2.867218592896527,2.770722387219747,1.8913057282450119,3.7174834015355165,0.5950982211615826,4.6931491923728466
1-2y,2020-21,seasforce_peak,9,hosp_tot_norm,1.3457695490011057,1.3457695490011057,1.7298689555098705,1.7606166684175264,1.6247705719753949,1.8731995777832688,1.4932318385323446,2.1392695241635256
1-2y,2020-21,seasforce_peak,9,peak_hosp_norm,1.3457695490011057,1.3457695490011057,2.8945508900665855,2.8603076660738,2.0894360005024497,3.7166257166257166,0.6084613121729773,4.596926445638131
1-2y,2020-21,seasforce_peak,10,hosp_tot_norm,1.4459523399764942,1.4459523399764942,1.7415042697917413,1.7672773705336022,1.6237659872353907,1.8854919147852791,1.5019838533166503,2.1632812725351513
1-2y,2020-21,seasforce_peak,10,peak_hosp_norm,1.4459523399764942,1.4459523399764942,3.135127059506243,2.9871885686208506,2.2614930670847966,3.828354651883076,0.8006417923901443,4.687563812054984
1-2y,2022,age_dep,1,hosp_tot_norm,0.0903417328646164,0.0903417328646164,0.8721371934605112,0.846099323513597,0.650325083506187,1.0378087772359412,0.41506323600943495,1.2835490195225212
1-2y,2022,age_dep,1,peak_hosp_norm,0.0903417328646164,0.0903417328646164,0.6400127264783453,0.6815002068279641,0.4658530871506704,0.8850275855638737,0.26454033294606577,1.2342843189543955
1-2y,2022,age_dep,2,hosp_tot_norm,0.11951275665588038,0.11951275665588038,0.9150153375483835,0.8749067163129468,0.7108932192002365,1.0549477681235393,0.439235886495423,1.2278836282488403
1-2y,2022,age_dep,2,peak_hosp_norm,0.11951275665588038,0.11951275665588038,0.7358564192069724,0.7572641165859674,0.5241824164423015,0.9930898607131536,0.2911906068351575,1.261948288050224
1-2y,2022,age_dep,3,hosp_tot_norm,0.14133551828913188,0.14133551828913188,0.9466179679167724,0.8968006922109328,0.7698055165969336,1.0554623341333664,0.4236839223599864,1.202577301594156
1-2y,2022,age_dep,3,peak_hosp_norm,0.14133551828913188,0.14133551828913188,0.8341519543448866,0.8164786247188559,0.5922681361357931,1.0758839927230293,0.2814574887186082,1.2634364389733146
1-2y,2022,age_dep,4,hosp_tot_norm,0.16148204369743227,0.16148204369743227,0.9684752771290654,0.9209773993846018,0.818564628008335,1.0610544130373862,0.45178607687659983,1.1994451624280686
1-2y,2022,age_dep,4,peak_hosp_norm,0.16148204369743227,0.16148204369743227,0.8860736419978127,0.8614346010297905,0.6411819887429644,1.103778662934654,0.3066716475786866,1.27521132346744
1-2y,2022,age_dep,5,hosp_tot_norm,0.17920264401479896,0.17920264401479896,0.9929417787471893,0.9408215019870483,0.8529648408591979,1.0684041023644566,0.46186761325561976,1.2112393092172857
1-2y,2022,age_dep,5,peak_hosp_norm,0.17920264401479896,0.17920264401479896,0.9596890501746557,0.908383013665781,0.7085691637721145,1.1496502969280602,0.31252104468380765,1.2815118001302535
