par_id,exp_dep,age_dep,seasforc_width_wks,R0,seasforce_peak,omega,const_delta
19872,1.625,0.375,5,1.5,1,0.002857142857142857,4.124064755448896
19886,1.5,0.4375,5,1.5,1,0.002857142857142857,4.672132717438931
20070,2,0.25,7,1.5,1,0.002857142857142857,3.2329390656145818
20084,1.875,0.3125,7,1.5,1,0.002857142857142857,4.03081999393144
20262,1.625,0.125,3,1,1.25,0.002857142857142857,0.5899877614667554
20264,1.875,0.125,3,1,1.25,0.002857142857142857,0.7954176346437618
20293,1.75,0.25,3,1,1.25,0.002857142857142857,1.60838832880652
20307,1.625,0.3125,3,1,1.25,0.002857142857142857,1.9931956593344637
20321,1.5,0.375,3,1,1.25,0.002857142857142857,2.35534932584747
20334,1.25,0.4375,3,1,1.25,0.002857142857142857,2.2561977328170104
20335,1.375,0.4375,3,1,1.25,0.002857142857142857,2.6572240926877795
20347,1,0.5,3,1,1.25,0.002857142857142857,2.037409943150725
20348,1.125,0.5,3,1,1.25,0.002857142857142857,2.426802963171583
20349,1.25,0.5,3,1,1.25,0.002857142857142857,2.873424334893344
20360,0.75,0.5625,3,1,1.25,0.002857142857142857,1.7355623301524459
20361,0.875,0.5625,3,1,1.25,0.002857142857142857,2.0962987742493375
20362,1,0.5625,3,1,1.25,0.002857142857142857,2.5135629532685146
20373,0.5,0.625,3,1,1.25,0.002857142857142857,1.3952770390965175
20374,0.625,0.625,3,1,1.25,0.002857142857142857,1.7135310389483245
20375,0.75,0.625,3,1,1.25,0.002857142857142857,2.0862890563905365
20386,0.25,0.6875,3,1,1.25,0.002857142857142857,1.058938722427627
20387,0.375,0.6875,3,1,1.25,0.002857142857142857,1.3253232792057597
20388,0.5,0.6875,3,1,1.25,0.002857142857142857,1.6426907771280927
20401,0.25,0.75,3,1,1.25,0.002857142857142857,1.2262574661069738
20488,1.75,0.125,5,1,1.25,0.002857142857142857,0.686154244383924
20504,1.875,0.1875,5,1,1.25,0.002857142857142857,1.2405396024934032
20518,1.75,0.25,5,1,1.25,0.002857142857142857,1.60838832880652
20532,1.625,0.3125,5,1,1.25,0.002857142857142857,1.9931956593344637
20533,1.75,0.3125,5,1,1.25,0.002857142857142857,2.3180814092480486
20546,1.5,0.375,5,1,1.25,0.002857142857142857,2.35534932584747
20547,1.625,0.375,5,1,1.25,0.002857142857142857,2.7493765036325977
20560,1.375,0.4375,5,1,1.25,0.002857142857142857,2.6572240926877795
20561,1.5,0.4375,5,1,1.25,0.002857142857142857,3.1147551449592874
20573,1.125,0.5,5,1,1.25,0.002857142857142857,2.426802963171583
20574,1.25,0.5,5,1,1.25,0.002857142857142857,2.873424334893344
20586,0.875,0.5625,5,1,1.25,0.002857142857142857,2.0962987742493375
20587,1,0.5625,5,1,1.25,0.002857142857142857,2.5135629532685146
20599,0.625,0.625,5,1,1.25,0.002857142857142857,1.7135310389483245
20600,0.75,0.625,5,1,1.25,0.002857142857142857,2.0862890563905365
20612,0.375,0.6875,5,1,1.25,0.002857142857142857,1.3253232792057597
20613,0.5,0.6875,5,1,1.25,0.002857142857142857,1.6426907771280927
20743,1.75,0.25,7,1,1.25,0.002857142857142857,1.60838832880652
20757,1.625,0.3125,7,1,1.25,0.002857142857142857,1.9931956593344637
20758,1.75,0.3125,7,1,1.25,0.002857142857142857,2.3180814092480486
20771,1.5,0.375,7,1,1.25,0.002857142857142857,2.35534932584747
20772,1.625,0.375,7,1,1.25,0.002857142857142857,2.7493765036325977
20785,1.375,0.4375,7,1,1.25,0.002857142857142857,2.6572240926877795
20798,1.125,0.5,7,1,1.25,0.002857142857142857,2.426802963171583
20837,0.375,0.6875,7,1,1.25,0.002857142857142857,1.3253232792057597
20940,2,0.125,3,1.1,1.25,0.002857142857142857,1.0114159224583565
20952,1.625,0.1875,3,1.1,1.25,0.002857142857142857,1.0121645112320217
20954,1.875,0.1875,3,1.1,1.25,0.002857142857142857,1.3645935627427437
20967,1.625,0.25,3,1.1,1.25,0.002857142857142857,1.5212649068245714
20981,1.5,0.3125,3,1.1,1.25,0.002857142857142857,1.8782946791470734
20996,1.5,0.375,3,1.1,1.25,0.002857142857142857,2.590884258432217
20997,1.625,0.375,3,1.1,1.25,0.002857142857142857,3.0243141539958573
21009,1.25,0.4375,3,1.1,1.25,0.002857142857142857,2.4818175060987113
21010,1.375,0.4375,3,1.1,1.25,0.002857142857142857,2.9229465019565577
21023,1.125,0.5,3,1.1,1.25,0.002857142857142857,2.669483259488741
21024,1.25,0.5,3,1.1,1.25,0.002857142857142857,3.160766768382679
21036,0.875,0.5625,3,1.1,1.25,0.002857142857142857,2.305928651674271
21037,1,0.5625,3,1.1,1.25,0.002857142857142857,2.764919248595366
21049,0.625,0.625,3,1.1,1.25,0.002857142857142857,1.884884142843157
21050,0.75,0.625,3,1.1,1.25,0.002857142857142857,2.2949179620295905
21062,0.375,0.6875,3,1.1,1.25,0.002857142857142857,1.4578556071263358
21063,0.5,0.6875,3,1.1,1.25,0.002857142857142857,1.8069598548409023
21076,0.25,0.75,3,1.1,1.25,0.002857142857142857,1.3488832127176713
21193,1.75,0.25,5,1.1,1.25,0.002857142857142857,1.769227161687172
21194,1.875,0.25,5,1.1,1.25,0.002857142857142857,2.05095938065683
21207,1.625,0.3125,5,1.1,1.25,0.002857142857142857,2.1925152252679103
21208,1.75,0.3125,5,1.1,1.25,0.002857142857142857,2.5498895501728533
21221,1.5,0.375,5,1.1,1.25,0.002857142857142857,2.590884258432217
21222,1.625,0.375,5,1.1,1.25,0.002857142857142857,3.0243141539958573
21235,1.375,0.4375,5,1.1,1.25,0.002857142857142857,2.9229465019565577
21236,1.5,0.4375,5,1.1,1.25,0.002857142857142857,3.4262306594552165
21248,1.125,0.5,5,1.1,1.25,0.002857142857142857,2.669483259488741
21249,1.25,0.5,5,1.1,1.25,0.002857142857142857,3.160766768382679
21262,1,0.5625,5,1.1,1.25,0.002857142857142857,2.764919248595366
21275,0.75,0.625,5,1.1,1.25,0.002857142857142857,2.2949179620295905
21287,0.375,0.6875,5,1.1,1.25,0.002857142857142857,1.4578556071263358
21288,0.5,0.6875,5,1.1,1.25,0.002857142857142857,1.8069598548409023
21301,0.25,0.75,5,1.1,1.25,0.002857142857142857,1.3488832127176713
21389,1.875,0.125,7,1.1,1.25,0.002857142857142857,0.874959398108138
21419,1.875,0.25,7,1.1,1.25,0.002857142857142857,2.05095938065683
21433,1.75,0.3125,7,1.1,1.25,0.002857142857142857,2.5498895501728533
21447,1.625,0.375,7,1.1,1.25,0.002857142857142857,3.0243141539958573
21448,1.75,0.375,7,1.1,1.25,0.002857142857142857,3.5172695581950064
21460,1.375,0.4375,7,1.1,1.25,0.002857142857142857,2.9229465019565577
21487,1,0.5625,7,1.1,1.25,0.002857142857142857,2.764919248595366
21500,0.75,0.625,7,1.1,1.25,0.002857142857142857,2.2949179620295905
21513,0.5,0.6875,7,1.1,1.25,0.002857142857142857,1.8069598548409023
21615,2,0.125,3,1.2,1.25,0.002857142857142857,1.1033628245000253
21642,1.625,0.25,3,1.2,1.25,0.002857142857142857,1.6595617165358958
21644,1.875,0.25,3,1.2,1.25,0.002857142857142857,2.2374102334438137
21657,1.625,0.3125,3,1.2,1.25,0.002857142857142857,2.3918347912013562
21658,1.75,0.3125,3,1.2,1.25,0.002857142857142857,2.781697691097658
21671,1.5,0.375,3,1.2,1.25,0.002857142857142857,2.8264191910169636
21672,1.625,0.375,3,1.2,1.25,0.002857142857142857,3.299251804359117
21685,1.375,0.4375,3,1.2,1.25,0.002857142857142857,3.1886689112253355
21686,1.5,0.4375,3,1.2,1.25,0.002857142857142857,3.737706173951145
21698,1.125,0.5,3,1.2,1.25,0.002857142857142857,2.912163555805899
21699,1.25,0.5,3,1.2,1.25,0.002857142857142857,3.448109201872013
21700,1.375,0.5,3,1.2,1.25,0.002857142857142857,4.060991070136799
21711,0.875,0.5625,3,1.2,1.25,0.002857142857142857,2.515558529099205
21712,1,0.5625,3,1.2,1.25,0.002857142857142857,3.0162755439222173
21725,0.75,0.625,3,1.2,1.25,0.002857142857142857,2.5035468676686436
21737,0.375,0.6875,3,1.2,1.25,0.002857142857142857,1.5903879350469114
21738,0.5,0.6875,3,1.2,1.25,0.002857142857142857,1.9712289325537111
21751,0.25,0.75,3,1.2,1.25,0.002857142857142857,1.4715089593283686
21839,1.875,0.125,5,1.2,1.25,0.002857142857142857,0.9545011615725142
21854,1.875,0.1875,5,1.2,1.25,0.002857142857142857,1.488647522992084
21869,1.875,0.25,5,1.2,1.25,0.002857142857142857,2.2374102334438137
21883,1.75,0.3125,5,1.2,1.25,0.002857142857142857,2.781697691097658
21897,1.625,0.375,5,1.2,1.25,0.002857142857142857,3.299251804359117
21898,1.75,0.375,5,1.2,1.25,0.002857142857142857,3.8370213362127337
21910,1.375,0.4375,5,1.2,1.25,0.002857142857142857,3.1886689112253355
21911,1.5,0.4375,5,1.2,1.25,0.002857142857142857,3.737706173951145
21912,1.625,0.4375,5,1.2,1.25,0.002857142857142857,4.362988291958039
21924,1.25,0.5,5,1.2,1.25,0.002857142857142857,3.448109201872013
21937,1,0.5625,5,1.2,1.25,0.002857142857142857,3.0162755439222173
21950,0.75,0.625,5,1.2,1.25,0.002857142857142857,2.5035468676686436
21963,0.5,0.6875,5,1.2,1.25,0.002857142857142857,1.9712289325537111
21976,0.25,0.75,5,1.2,1.25,0.002857142857142857,1.4715089593283686
22094,1.875,0.25,7,1.2,1.25,0.002857142857142857,2.2374102334438137
22108,1.75,0.3125,7,1.2,1.25,0.002857142857142857,2.781697691097658
22109,1.875,0.3125,7,1.2,1.25,0.002857142857142857,3.224655995145152
22122,1.625,0.375,7,1.2,1.25,0.002857142857142857,3.299251804359117
22149,1.25,0.5,7,1.2,1.25,0.002857142857142857,3.448109201872013
22290,2,0.125,3,1.3,1.25,0.002857142857142857,1.195309726541694
22303,1.75,0.1875,3,1.3,1.25,0.002857142857142857,1.391171026961126
22319,1.875,0.25,3,1.3,1.25,0.002857142857142857,2.4238610862307985
22332,1.625,0.3125,3,1.3,1.25,0.002857142857142857,2.591154357134803
22333,1.75,0.3125,3,1.3,1.25,0.002857142857142857,3.0135058320224632
22346,1.5,0.375,3,1.3,1.25,0.002857142857142857,3.0619541236017107
22347,1.625,0.375,3,1.3,1.25,0.002857142857142857,3.5741894547223767
22360,1.375,0.4375,3,1.3,1.25,0.002857142857142857,3.4543913204941132
22361,1.5,0.4375,3,1.3,1.25,0.002857142857142857,4.0491816884470735
22374,1.25,0.5,3,1.3,1.25,0.002857142857142857,3.735451635361348
22387,1,0.5625,3,1.3,1.25,0.002857142857142857,3.267631839249069
22400,0.75,0.625,3,1.3,1.25,0.002857142857142857,2.7121757733076977
22413,0.5,0.6875,3,1.3,1.25,0.002857142857142857,2.1354980102665206
22426,0.25,0.75,3,1.3,1.25,0.002857142857142857,1.594134705939066
22529,1.875,0.1875,5,1.3,1.25,0.002857142857142857,1.6127014832414244
22530,2,0.1875,5,1.3,1.25,0.002857142857142857,1.8642144559500902
22544,1.875,0.25,5,1.3,1.25,0.002857142857142857,2.4238610862307985
22558,1.75,0.3125,5,1.3,1.25,0.002857142857142857,3.0135058320224632
22559,1.875,0.3125,5,1.3,1.25,0.002857142857142857,3.493377328073915
22572,1.625,0.375,5,1.3,1.25,0.002857142857142857,3.5741894547223767
22573,1.75,0.375,5,1.3,1.25,0.002857142857142857,4.156773114230462
22586,1.5,0.4375,5,1.3,1.25,0.002857142857142857,4.0491816884470735
22599,1.25,0.5,5,1.3,1.25,0.002857142857142857,3.735451635361348
22613,1.125,0.5625,5,1.3,1.25,0.002857142857142857,3.892146819397753
22626,0.875,0.625,5,1.3,1.25,0.002857142857142857,3.2759012167740806
22639,0.625,0.6875,5,1.3,1.25,0.002857142857142857,2.6225918019646706
