agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
8,1,4543,6,2,0.3081
8,2,4543,16344,3543,0.2168
8,3,4543,3192554,576339,0.1805
9,1,4543,0,0,NA
9,2,4543,1272,254,0.1997
9,3,4543,3117054,590460,0.1894
10,1,4543,0,0,NA
10,2,4543,174,36,0.2052
10,3,4543,1793361,342849,0.1912
11,1,4543,0,0,NA
11,2,4543,130,30,0.2344
11,3,4543,1201405,230822,0.1921
1,1,4754,478031,166947,0.3492
1,2,4754,71457,35482,0.4966
1,3,4754,2318,1165,0.5024
2,1,4754,175186,96142,0.5488
2,2,4754,126974,56129,0.442
2,3,4754,9353,4605,0.4923
3,1,4754,66230,36960,0.5581
3,2,4754,123325,61354,0.4975
3,3,4754,14641,7273,0.4968
4,1,4754,23924,14392,0.6016
4,2,4754,145005,69460,0.479
4,3,4754,42749,21943,0.5133
5,1,4754,7209,4412,0.6121
5,2,4754,151615,87459,0.5769
5,3,4754,86580,49603,0.5729
6,1,4754,1040,668,0.6427
6,2,4754,81490,52179,0.6403
6,3,4754,95604,57612,0.6026
7,1,4754,133,92,0.6911
7,2,4754,42243,28631,0.6778
7,3,4754,92198,57214,0.6206
8,1,4754,19,16,0.8567
8,2,4754,47149,31941,0.6774
8,3,4754,1010684,644146,0.6373
9,1,4754,0,0,2
9,2,4754,5927,3766,0.6355
9,3,4754,888558,577109,0.6495
10,1,4754,0,0,NA
10,2,4754,2041,1039,0.5089
10,3,4754,529935,347801,0.6563
11,1,4754,0,0,NA
11,2,4754,1929,927,0.4806
11,3,4754,372215,245284,0.659
1,1,4979,492845,372271,0.7554
1,2,4979,100791,76174,0.7558
1,3,4979,6456,7000,1.0842
2,1,4979,168642,207388,1.2298
2,2,4979,152503,131687,0.8635
2,3,4979,23448,24047,1.0256
3,1,4979,64474,80552,1.2494
3,2,4979,145812,141370,0.9695
3,3,4979,36276,37671,1.0385
4,1,4979,22749,29347,1.29
4,2,4979,144545,155884,1.0784
4,3,4979,92316,90064,0.9756
5,1,4979,6669,8735,1.3098
5,2,4979,144824,163724,1.1305
5,3,4979,192909,212087,1.0994
6,1,4979,920,1230,1.337
6,2,4979,71184,83463,1.1725
6,3,4979,210582,240212,1.1407
7,1,4979,110,149,1.3649
7,2,4979,33191,40315,1.2146
7,3,4979,202623,236736,1.1684
8,1,4979,13,19,1.4336
8,2,4979,26441,33607,1.271
8,3,4979,2093512,2467085,1.1784
9,1,4979,0,0,NA
9,2,4979,2134,2760,1.2932
9,3,4979,2019812,2477679,1.2267
10,1,4979,0,0,NA
10,2,4979,253,306,1.2114
10,3,4979,1222499,1511823,1.2367
11,1,4979,0,0,NA
11,2,4979,163,190,1.1651
11,3,4979,865291,1074052,1.2413
1,1,4993,505071,189441,0.3751
1,2,4993,144430,49107,0.34
1,3,4993,21619,8103,0.3748
2,1,4993,143214,82209,0.574
2,2,4993,178096,76229,0.428
2,3,4993,65351,23930,0.3662
3,1,4993,51886,29511,0.5688
3,2,4993,156667,73033,0.4662
3,3,4993,94864,36321,0.3829
4,1,4993,16871,10109,0.5992
4,2,4993,129397,65490,0.5061
4,3,4993,189395,73576,0.3885
5,1,4993,4648,2852,0.6136
5,2,4993,121328,62574,0.5157
5,3,4993,377245,151152,0.4007
6,1,4993,592,373,0.6303
6,2,4993,54523,28203,0.5173
6,3,4993,385139,157732,0.4095
7,1,4993,65,42,0.6506
7,2,4993,23316,11910,0.5108
7,3,4993,353993,147806,0.4175
8,1,4993,7,5,0.7007
8,2,4993,16377,8545,0.5218
8,3,4993,3441729,1450283,0.4214
9,1,4993,0,0,NA
9,2,4993,1274,591,0.4642
9,3,4993,3465113,1525869,0.4404
10,1,4993,0,0,NA
10,2,4993,169,77,0.4587
10,3,4993,1998406,887916,0.4443
11,1,4993,0,0,NA
11,2,4993,123,55,0.4442
11,3,4993,1340988,598686,0.4465
1,1,5008,529083,26069,0.0493
