par_id,exp_dep,age_dep,seasforc_width_wks,R0,seasforce_peak,omega,const_delta
408,0.5,0.875,5,1,0.75,0.004,2.458986394832574
409,0.625,0.875,5,1,0.75,0.004,3.01986587167352
421,0.25,0.9375,5,1,0.75,0.004,1.7779603734890876
422,0.375,0.9375,5,1,0.75,0.004,2.2252206124717486
423,0.5,0.9375,5,1,0.75,0.004,2.758081318373313
436,0.25,1,5,1,0.75,0.004,1.9808195872627614
437,0.375,1,5,1,0.75,0.004,2.4791106938536753
438,0.5,1,5,1,0.75,0.004,3.0727689886452274
479,1.875,0.1875,7,1,0.75,0.004,1.2405396024934034
480,2,0.1875,7,1,0.75,0.004,1.4340111199616106
492,1.625,0.25,7,1,0.75,0.004,1.3829680971132456
493,1.75,0.25,7,1,0.75,0.004,1.608388328806521
494,1.875,0.25,7,1,0.75,0.004,1.864508527869845
495,2,0.25,7,1,0.75,0.004,2.155292710409722
505,1.375,0.3125,7,1,0.75,0.004,1.4567174165064716
506,1.5,0.3125,7,1,0.75,0.004,1.707540617406429
507,1.625,0.3125,7,1,0.75,0.004,1.9931956593344629
508,1.75,0.3125,7,1,0.75,0.004,2.318081409248047
509,1.875,0.3125,7,1,0.75,0.004,2.6872133292876272
518,1.125,0.375,7,1,0.75,0.004,1.4409314647684732
519,1.25,0.375,7,1,0.75,0.004,1.7061160706545968
520,1.375,0.375,7,1,0.75,0.004,2.0093685326971795
521,1.5,0.375,7,1,0.75,0.004,2.3553493258474707
522,1.625,0.375,7,1,0.75,0.004,2.749376503632598
531,0.875,0.4375,7,1,0.75,0.004,1.3341947516555603
532,1,0.4375,7,1,0.75,0.004,1.599763612611752
533,1.125,0.4375,7,1,0.75,0.004,1.9055129717569406
534,1.25,0.4375,7,1,0.75,0.004,2.25619773281701
535,1.375,0.4375,7,1,0.75,0.004,2.657224092687781
536,1.5,0.4375,7,1,0.75,0.004,3.1147551449592887
537,1.625,0.4375,7,1,0.75,0.004,3.6358235766316978
544,0.625,0.5,7,1,0.75,0.004,1.155437252483474
545,0.75,0.5,7,1,0.75,0.004,1.4067886956291793
546,0.875,0.5,7,1,0.75,0.004,1.6991895750677124
547,1,0.5,7,1,0.75,0.004,2.0374099431507258
548,1.125,0.5,7,1,0.75,0.004,2.426802963171583
549,1.25,0.5,7,1,0.75,0.004,2.8734243348933455
550,1.375,0.5,7,1,0.75,0.004,3.3841592251139994
551,1.5,0.5,7,1,0.75,0.004,3.9668567610807726
557,0.375,0.5625,7,1,0.75,0.004,0.9364663799641786
558,0.5,0.5625,7,1,0.75,0.004,1.1607165659834906
559,0.625,0.5625,7,1,0.75,0.004,1.425468783261931
560,0.75,0.5625,7,1,0.75,0.004,1.7355623301524445
561,0.875,0.5625,7,1,0.75,0.004,2.0962987742493366
562,1,0.5625,7,1,0.75,0.004,2.5135629532685164
563,1.125,0.5625,7,1,0.75,0.004,2.993959091844424
564,1.25,0.5625,7,1,0.75,0.004,3.544958137407999
565,1.375,0.5625,7,1,0.75,0.004,4.175054355067088
571,0.25,0.625,7,1,0.75,0.004,0.8994467527215311
572,0.375,0.625,7,1,0.75,0.004,1.125709821107559
573,0.5,0.625,7,1,0.75,0.004,1.395277039096517
574,0.625,0.625,7,1,0.75,0.004,1.7135310389483245
575,0.75,0.625,7,1,0.75,0.004,2.0862890563905374
576,0.875,0.625,7,1,0.75,0.004,2.51992401290314
577,1,0.625,7,1,0.75,0.004,3.021509968755865
578,1.125,0.625,7,1,0.75,0.004,3.5989857466238666
586,0.25,0.6875,7,1,0.75,0.004,1.0589387224276268
587,0.375,0.6875,7,1,0.75,0.004,1.3253232792057597
588,0.5,0.6875,7,1,0.75,0.004,1.6426907771280925
589,0.625,0.6875,7,1,0.75,0.004,2.017378309203593
590,0.75,0.6875,7,1,0.75,0.004,2.4562346367966965
591,0.875,0.6875,7,1,0.75,0.004,2.9667627425016794
592,1,0.6875,7,1,0.75,0.004,3.5572910752475373
593,1.125,0.6875,7,1,0.75,0.004,4.237166188030077
601,0.25,0.75,7,1,0.75,0.004,1.2262574661069745
602,0.375,0.75,7,1,0.75,0.004,1.5347323992512816
603,0.5,0.75,7,1,0.75,0.004,1.9022458876000343
604,0.625,0.75,7,1,0.75,0.004,2.336136323310476
605,0.75,0.75,7,1,0.75,0.004,2.8443346136002243
606,0.875,0.75,7,1,0.75,0.004,3.435529257840815
616,0.25,0.8125,7,1,0.75,0.004,1.401499498825958
617,0.375,0.8125,7,1,0.75,0.004,1.7540579754521108
618,0.5,0.8125,7,1,0.75,0.004,2.174092090610455
619,0.625,0.8125,7,1,0.75,0.004,2.6699889515886803
