agegroup,epi_year,epi_year_wk_start,parname,par_bin,varname,parvalue,mean_parvalue,median,mean,ci50_l,ci50_u,ci95_l,ci95_u
1,2023,23,seasforc_width_wks,2,cumul_hosp,3.6007682280813547,3.6007682280813547,1.0399124546058953,1.0714313598050982,1.0087068339776557,1.1059895696482007,1.0010345944856816,1.2962935482361104
1,2023,23,seasforc_width_wks,2,peak_hosp,3.6007682280813547,3.6007682280813547,1.0156929541624677,1.1074066986343787,0.9977729826933437,1.1368153433206694,0.8789315257958852,1.771119835558296
1,2023,23,seasforc_width_wks,2,peak_yday,3.6007682280813547,3.6007682280813547,0,-4.025,-7,0,-14,0
1,2023,23,seasforc_width_wks,3,cumul_hosp,4.0795811166489555,4.0795811166489555,1.043352472849651,1.0774036668348128,1.0098612323930998,1.111247993377502,1.0005328787635004,1.2805053729415417
1,2023,23,seasforc_width_wks,3,peak_hosp,4.0795811166489555,4.0795811166489555,1.0284065532475801,1.1206220677378487,1.0000224687069568,1.1810658882038338,0.8908568777133157,1.6219682438813456
1,2023,23,seasforc_width_wks,3,peak_yday,4.0795811166489555,4.0795811166489555,0,-2.935,-7,0,-14,0
1,2023,23,seasforc_width_wks,4,cumul_hosp,4.462767358168379,4.462767358168379,1.02864020410062,1.0695885322531158,1.0059733485979545,1.105371992507934,0.9997421545304045,1.3168420326824801
1,2023,23,seasforc_width_wks,4,peak_hosp,4.462767358168379,4.462767358168379,1.0140094759867624,1.104741660833986,0.9994314042508896,1.1497208984526968,0.8706409604699673,1.7077084717724351
1,2023,23,seasforc_width_wks,4,peak_yday,4.462767358168379,4.462767358168379,0,1.17,-7,0,-21,0
1,2023,23,seasforc_width_wks,5,cumul_hosp,4.83563154014902,4.83563154014902,1.029852141209468,1.0744009702773987,1.0067110713103513,1.1072340309790736,1.0006255718096764,1.306948577455994
1,2023,23,seasforc_width_wks,5,peak_hosp,4.83563154014902,4.83563154014902,1.0067080658089882,1.097185299987605,0.9973395737341226,1.1139187621964979,0.8617370691808908,1.6924265042264974
1,2023,23,seasforc_width_wks,5,peak_yday,4.83563154014902,4.83563154014902,0,-2.655,-7,0,-21,0
1,2023,23,seasforc_width_wks,6,cumul_hosp,5.2482869407809645,5.2482869407809645,1.0316323536651786,1.0645454045384906,1.0075886928677418,1.0966405121804867,1.0003874013927132,1.2672307535936043
1,2023,23,seasforc_width_wks,6,peak_hosp,5.2482869407809645,5.2482869407809645,1.0244146015205164,1.094248197226582,1.0000825906922879,1.120334891557627,0.9400646234322751,1.6001360554070545
1,2023,23,seasforc_width_wks,6,peak_yday,5.2482869407809645,5.2482869407809645,0,-5.25,-7,0,-21,0
1,2023,23,seasforc_width_wks,7,cumul_hosp,5.671890102748877,5.671890102748877,1.0317606441484135,1.0709215515605786,1.0072320948004807,1.1115356249049755,1.0004704052316087,1.3099740399219022
1,2023,23,seasforc_width_wks,7,peak_hosp,5.671890102748877,5.671890102748877,1.015851467353985,1.1172360527984744,0.9992100200674555,1.155446998110159,0.9281314836195576,1.7211514599803888
1,2023,23,seasforc_width_wks,7,peak_yday,5.671890102748877,5.671890102748877,0,0.05,-7,0,-21,0
1,2023,23,seasforc_width_wks,8,cumul_hosp,6.158958798240736,6.158958798240736,1.0265129828606718,1.0671190439941918,1.0059342531764397,1.1006116597498172,0.9998582877417892,1.3243851456960836
1,2023,23,seasforc_width_wks,8,peak_hosp,6.158958798240736,6.158958798240736,1.0159610911538661,1.0984034037525385,1.0009678017669366,1.1116258404172614,0.977479291097806,1.6156081770954833
1,2023,23,seasforc_width_wks,8,peak_yday,6.158958798240736,6.158958798240736,0,2.295,-7,0,-21.174999999999997,0.1750000000000398
1,2023,23,seasforc_width_wks,9,cumul_hosp,6.825261766578832,6.825261766578832,1.0297428692599027,1.0607938270769004,1.0072341150205821,1.085629561803658,1.0001560871494013,1.2725421244389135
1,2023,23,seasforc_width_wks,9,peak_hosp,6.825261766578832,6.825261766578832,1.0152042636130725,1.0846375720251997,1.0014092885472659,1.0955117313962683,0.9520409736287122,1.5407571581882242
1,2023,23,seasforc_width_wks,9,peak_yday,6.825261766578832,6.825261766578832,0,9.665,-7,0,-21,337.17500000000007
1,2023,23,seasforc_width_wks,10,cumul_hosp,8.087934996201417,8.087934996201417,1.0160419753209977,1.0517894575965612,1.00604839573945,1.0711301632456312,1.0002589756077882,1.2736371673734144
1,2023,23,seasforc_width_wks,10,peak_hosp,8.087934996201417,8.087934996201417,1.0046364535960253,1.0402428660534708,0.9994436512927128,1.0240610880202443,0.9384908666497788,1.3190632408170972
1,2023,23,seasforc_width_wks,10,peak_yday,8.087934996201417,8.087934996201417,0,19.385,-7,0,-21.174999999999997,351
1,2023,23,seasforce_peak,1,cumul_hosp,0.2951290948596721,0.2951290948596721,1.0946923889783264,1.121318327513127,1.062966205234587,1.1570191032183823,1.0271871349856339,1.321631048615886
1,2023,23,seasforce_peak,1,peak_hosp,0.2951290948596721,0.2951290948596721,0.9792846488322969,0.9605070265839718,0.9158549882295154,1.0105956419332263,0.7903690640216333,1.0541080559780898
1,2023,23,seasforce_peak,1,peak_yday,0.2951290948596721,0.2951290948596721,0,8.335,-7,0,-28,344
1,2023,23,seasforce_peak,2,cumul_hosp,0.46252401097228146,0.46252401097228146,1.0591136972253523,1.0890746751753193,1.0310646942054102,1.1185747477532035,1.0087844718932437,1.2976753766932276
1,2023,23,seasforce_peak,2,peak_hosp,0.46252401097228146,0.46252401097228146,1.0079124694238772,1.0138640710657072,0.9894014515344431,1.0237447953591006,0.8525138940291099,1.1681910971818565
1,2023,23,seasforce_peak,2,peak_yday,0.46252401097228146,0.46252401097228146,0,1.945,-7,0,-21,7
1,2023,23,seasforce_peak,3,cumul_hosp,0.6297160629837628,0.6297160629837628,1.0280339717571865,1.0533544978130336,1.0112047614540594,1.0712516851648701,1.0020115290443412,1.2479539792885357
1,2023,23,seasforce_peak,3,peak_hosp,0.6297160629837628,0.6297160629837628,1.010513511300422,1.0444502687733146,1.000080150599068,1.062905720007075,0.9340302012284782,1.301002262517727
1,2023,23,seasforce_peak,3,peak_yday,0.6297160629837628,0.6297160629837628,0,3.45,-7,0,-21.174999999999997,7
1,2023,23,seasforce_peak,4,cumul_hosp,0.7837486314861053,0.7837486314861053,1.0145967046612632,1.046487328488396,1.0057594102136775,1.061990321157369,1.0006380886950383,1.2220192164695511
1,2023,23,seasforce_peak,4,peak_hosp,0.7837486314861053,0.7837486314861053,1.005729779478826,1.0600756352689447,1.001009178946253,1.0630724659237765,0.9571100684068347,1.438305760915648
1,2023,23,seasforce_peak,4,peak_yday,0.7837486314861053,0.7837486314861053,0,3.73,-7,0,-21,7
