agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
9,3,30628,4371282,2379174,0.5443
10,1,30628,0,0,NA
10,2,30628,428,254,0.5937
10,3,30628,2720135,1489478,0.5476
11,1,30628,0,0,NA
11,2,30628,137,80,0.5855
11,3,30628,1953471,1073039,0.5493
1,1,30657,412859,54276,0.1315
1,2,30657,103272,12732,0.1233
1,3,30657,15150,2053,0.1355
2,1,30657,120153,26549,0.221
2,2,30657,134051,21872,0.1632
2,3,30657,43813,6787,0.1549
3,1,30657,44573,9730,0.2183
3,2,30657,130019,23711,0.1824
3,3,30657,69695,11118,0.1595
4,1,30657,14400,3378,0.2346
4,2,30657,115714,22627,0.1955
4,3,30657,120856,21659,0.1792
5,1,30657,4005,966,0.2411
5,2,30657,137183,28130,0.2051
5,3,30657,289490,49785,0.172
6,1,30657,510,127,0.2494
6,2,30657,79462,16661,0.2097
6,3,30657,317853,54195,0.1705
7,1,30657,56,15,0.2602
7,2,30657,44873,9454,0.2107
7,3,30657,309035,52618,0.1703
8,1,30657,6,2,0.2925
8,2,30657,51592,11084,0.2148
8,3,30657,3207249,555738,0.1733
9,1,30657,0,0,NA
9,2,30657,6291,1155,0.1837
9,3,30657,3860563,673824,0.1745
10,1,30657,0,0,NA
10,2,30657,478,95,0.1983
10,3,30657,2162610,380776,0.1761
11,1,30657,0,0,NA
11,2,30657,173,47,0.2712
11,3,30657,1391828,246140,0.1768
1,1,30671,414344,8769,0.0212
1,2,30671,108485,2133,0.0197
1,3,30671,18293,421,0.023
2,1,30671,115077,4244,0.0369
2,2,30671,135689,3630,0.0268
2,3,30671,49605,1359,0.0274
3,1,30671,42522,1541,0.0362
3,2,30671,129639,3949,0.0305
3,3,30671,79326,2316,0.0292
4,1,30671,13685,544,0.0398
4,2,30671,114061,3764,0.033
4,3,30671,126786,4116,0.0325
5,1,30671,3831,158,0.0413
5,2,30671,135586,4790,0.0353
5,3,30671,312777,9937,0.0318
6,1,30671,490,21,0.0433
6,2,30671,78653,2879,0.0366
6,3,30671,342811,10670,0.0311
7,1,30671,54,3,0.0461
7,2,30671,44523,1655,0.0372
7,3,30671,330749,10140,0.0307
8,1,30671,6,0,0.0533
8,2,30671,51399,1966,0.0383
8,3,30671,3390672,105980,0.0313
9,1,30671,0,0,NA
9,2,30671,6292,211,0.0335
9,3,30671,4049686,124830,0.0308
10,1,30671,0,0,NA
10,2,30671,503,31,0.0619
10,3,30671,2160158,67143,0.0311
11,1,30671,0,0,NA
11,2,30671,264,77,0.2925
11,3,30671,1317613,41098,0.0312
1,1,30672,448659,90687,0.2021
1,2,30672,100774,19535,0.1938
1,3,30672,13889,3337,0.2402
2,1,30672,122285,45679,0.3735
2,2,30672,131152,35430,0.2701
2,3,30672,39635,10482,0.2645
3,1,30672,44209,16073,0.3636
3,2,30672,126636,39463,0.3116
3,3,30672,58644,17244,0.294
4,1,30672,14120,5660,0.4008
4,2,30672,114345,39154,0.3424
4,3,30672,108660,33169,0.3053
5,1,30672,3919,1605,0.4097
5,2,30672,135740,49635,0.3657
5,3,30672,232404,77553,0.3337
6,1,30672,504,215,0.4261
6,2,30672,78791,29358,0.3726
6,3,30672,240645,87537,0.3638
7,1,30672,56,25,0.4484
7,2,30672,44232,16358,0.3698
7,3,30672,218589,85285,0.3902
8,1,30672,6,3,0.5004
8,2,30672,53871,21604,0.401
8,3,30672,2286876,919227,0.402
9,1,30672,0,0,NA
9,2,30672,6968,3158,0.4532
9,3,30672,2195530,938346,0.4274
10,1,30672,0,0,NA
10,2,30672,1631,1121,0.6873
10,3,30672,1136922,492879,0.4335
11,1,30672,0,0,NA
11,2,30672,3162,2378,0.7521
11,3,30672,678670,296304,0.4366
1,1,30685,423003,4326,0.0102
1,2,30685,111743,1046,0.0094
1,3,30685,20517,234,0.0114
2,1,30685,111605,2082,0.0187
2,2,30685,136018,1790,0.0132
2,3,30685,53257,754,0.0141
3,1,30685,40952,747,0.0182
3,2,30685,128424,1981,0.0154
3,3,30685,84247,1336,0.0159
4,1,30685,13142,269,0.0205
4,2,30685,112328,1910,0.017
4,3,30685,129650,2268,0.0175
5,1,30685,3700,80,0.0216
5,2,30685,133943,2508,0.0187
5,3,30685,320820,5684,0.0177
6,1,30685,478,11,0.0231
6,2,30685,77924,1538,0.0197
6,3,30685,348590,6081,0.0174
7,1,30685,54,1,0.0249
7,2,30685,44185,894,0.0202
7,3,30685,330386,5713,0.0173
8,1,30685,6,0,0.0238
8,2,30685,51466,1084,0.0211
8,3,30685,3354897,59949,0.0179
9,1,30685,0,0,NA
9,2,30685,6340,130,0.0205
9,3,30685,3783781,67057,0.0177
10,1,30685,0,0,NA
10,2,30685,689,111,0.1618
10,3,30685,1907664,34111,0.0179
11,1,30685,0,0,NA
11,2,30685,1221,495,0.4057
11,3,30685,1095501,19578,0.0179
1,1,30686,456266,15007,0.0329
1,2,30686,105330,3340,0.0317
1,3,30686,17008,680,0.04
2,1,30686,117469,7530,0.0641
2,2,30686,132154,6072,0.0459
2,3,30686,45784,2226,0.0486
3,1,30686,42104,2604,0.0618
3,2,30686,125778,6961,0.0553
3,3,30686,67424,3647,0.0541
4,1,30686,13381,927,0.0693
4,2,30686,112244,6925,0.0617
4,3,30686,116392,6910,0.0594
5,1,30686,3734,267,0.0716
5,2,30686,133930,9192,0.0686
5,3,30686,249061,15999,0.0642
6,1,30686,484,37,0.0762
6,2,30686,77879,5543,0.0712
6,3,30686,251077,18090,0.072
7,1,30686,55,5,0.0829
7,2,30686,43514,3119,0.0717
7,3,30686,220493,17449,0.0791
8,1,30686,6,1,0.0962
8,2,30686,53859,4404,0.0818
8,3,30686,2273813,187221,0.0823
9,1,30686,0,0,NA
9,2,30686,7686,1086,0.1413
9,3,30686,2054850,179273,0.0872
10,1,30686,0,0,NA
10,2,30686,4530,1741,0.3843
10,3,30686,1001539,88437,0.0883
11,1,30686,0,0,NA
11,2,30686,11096,3953,0.3562
11,3,30686,560260,49292,0.088
1,1,30698,396169,408,0.001
1,2,30698,117720,60,5e-4
1,3,30698,23675,7,3e-4
2,1,30698,104091,167,0.0016
2,2,30698,138490,86,6e-4
2,3,30698,58529,22,4e-4
3,1,30698,39206,47,0.0012
3,2,30698,129167,74,6e-4
3,3,30698,92412,36,4e-4
4,1,30698,12865,16,0.0012
4,2,30698,111785,68,6e-4
4,3,30698,135200,60,4e-4
5,1,30698,3742,4,0.001
5,2,30698,133680,70,5e-4
5,3,30698,346449,147,4e-4
6,1,30698,495,1,0.001
6,2,30698,77716,39,5e-4
6,3,30698,390964,163,4e-4
7,1,30698,57,0,9e-4
7,2,30698,44138,21,5e-4
7,3,30698,389896,162,4e-4
8,1,30698,6,0,0
