agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
9,1,4289,1,1,2
9,2,4289,2867,4347,1.5162
9,3,4289,1672966,2435181,1.4556
10,1,4289,0,0,NA
10,2,4289,306,443,1.4465
10,3,4289,1071428,1568842,1.4643
11,1,4289,0,0,NA
11,2,4289,155,219,1.415
11,3,4289,803541,1179242,1.4676
1,1,4318,452039,312310,0.6909
1,2,4318,109729,66827,0.609
1,3,4318,11403,11099,0.9734
2,1,4318,151814,171833,1.1319
2,2,4318,153586,122640,0.7985
2,3,4318,37074,33187,0.8951
3,1,4318,57897,65815,1.1368
3,2,4318,141681,124556,0.8791
3,3,4318,54247,50203,0.9254
4,1,4318,19849,23512,1.1845
4,2,4318,130515,129337,0.991
4,3,4318,120516,99610,0.8265
5,1,4318,5750,6916,1.2028
5,2,4318,126202,127270,1.0085
5,3,4318,238392,229539,0.9629
6,1,4318,779,956,1.228
6,2,4318,59671,61201,1.0256
6,3,4318,245568,248335,1.0113
7,1,4318,91,114,1.254
7,2,4318,27176,28627,1.0534
7,3,4318,225060,235732,1.0474
8,1,4318,11,14,1.3277
8,2,4318,21787,24467,1.123
8,3,4318,2243377,2366883,1.0551
9,1,4318,0,0,NA
9,2,4318,1790,2094,1.1696
9,3,4318,2084798,2330563,1.1179
10,1,4318,0,0,NA
10,2,4318,265,278,1.0512
10,3,4318,1191871,1346132,1.1294
11,1,4318,0,0,NA
11,2,4318,257,248,0.9639
11,3,4318,795637,903253,1.1353
1,1,4529,449430,196721,0.4377
1,2,4529,88013,42432,0.4821
1,3,4529,4718,3133,0.664
2,1,4529,165173,117115,0.709
2,2,4529,140032,68750,0.491
2,3,4529,18035,11459,0.6354
3,1,4529,63570,45871,0.7216
3,2,4529,133528,72259,0.5412
3,3,4529,27793,17899,0.644
4,1,4529,22268,16804,0.7546
4,2,4529,136464,81146,0.5946
4,3,4529,74780,46118,0.6167
5,1,4529,6354,4912,0.7731
5,2,4529,133210,83953,0.6302
5,3,4529,147966,103494,0.6994
6,1,4529,859,683,0.7951
6,2,4529,64103,43167,0.6734
6,3,4529,158776,115759,0.7291
7,1,4529,100,81,0.8167
7,2,4529,29423,21482,0.7301
7,3,4529,150641,112727,0.7483
8,1,4529,11,10,0.8749
8,2,4529,24398,19049,0.7808
8,3,4529,1567967,1188145,0.7578
9,1,4529,0,0,NA
9,2,4529,2013,1670,0.8294
9,3,4529,1438281,1131482,0.7867
10,1,4529,0,0,NA
10,2,4529,327,223,0.6832
10,3,4529,866233,688272,0.7946
11,1,4529,0,0,NA
11,2,4529,260,155,0.5971
11,3,4529,611492,487982,0.798
1,1,4543,456926,64242,0.1406
1,2,4543,131520,17526,0.1333
1,3,4543,18607,2992,0.1608
2,1,4543,139940,33125,0.2367
2,2,4543,166349,28535,0.1715
2,3,4543,57610,8625,0.1497
3,1,4543,50921,12065,0.2369
3,2,4543,148485,28002,0.1886
3,3,4543,82575,12938,0.1567
4,1,4543,16515,4138,0.2505
4,2,4543,123751,25710,0.2078
4,3,4543,171535,26175,0.1526
5,1,4543,4441,1145,0.2579
5,2,4543,116286,24596,0.2115
5,3,4543,330343,53637,0.1624
6,1,4543,560,149,0.2663
6,2,4543,52395,11013,0.2102
6,3,4543,333497,55990,0.1679
7,1,4543,61,17,0.2769
7,2,4543,22373,4583,0.2048
7,3,4543,303286,52422,0.1728
8,1,4543,6,2,0.3081
8,2,4543,15841,3320,0.2096
8,3,4543,2962455,515034,0.1739
9,1,4543,0,0,NA
9,2,4543,1192,232,0.1943
9,3,4543,2867404,532414,0.1857
10,1,4543,0,0,NA
10,2,4543,162,33,0.2014
10,3,4543,1648436,309487,0.1877
11,1,4543,0,0,NA
11,2,4543,121,28,0.2345
11,3,4543,1103776,208502,0.1889
1,1,4754,425580,140960,0.3312
1,2,4754,62822,31266,0.4977
1,3,4754,2022,988,0.4888
2,1,4754,166540,89909,0.5399
2,2,4754,114938,50807,0.442
2,3,4754,8289,4024,0.4855
3,1,4754,64930,35738,0.5504
3,2,4754,113347,56777,0.5009
3,3,4754,13112,6479,0.4942
4,1,4754,23549,14023,0.5955
4,2,4754,134229,62949,0.469
4,3,4754,38384,19765,0.5149
5,1,4754,7136,4325,0.606
5,2,4754,140827,81611,0.5795
5,3,4754,78150,45299,0.5796
6,1,4754,1028,650,0.6324
6,2,4754,75499,49435,0.6548
6,3,4754,86404,52838,0.6115
7,1,4754,131,88,0.6711
7,2,4754,39032,27165,0.696
7,3,4754,83360,52565,0.6306
8,1,4754,18,15,0.8343
8,2,4754,43534,30288,0.6957
8,3,4754,914789,593698,0.649
9,1,4754,0,0,2
9,2,4754,5392,3495,0.6482
9,3,4754,803230,531032,0.6611
10,1,4754,0,0,NA
10,2,4754,1853,955,0.5155
10,3,4754,478673,320000,0.6685
11,1,4754,0,0,NA
11,2,4754,1749,850,0.4859
11,3,4754,336099,225653,0.6714
1,1,4979,444016,342418,0.7712
1,2,4979,91157,70582,0.7743
1,3,4979,5885,6619,1.1248
2,1,4979,163215,201455,1.2343
2,2,4979,141026,121585,0.8621
2,3,4979,21645,23127,1.0684
3,1,4979,63856,79704,1.2482
3,2,4979,137314,131898,0.9606
3,3,4979,33754,36514,1.0818
4,1,4979,22593,29128,1.2893
4,2,4979,136389,145624,1.0677
4,3,4979,86046,87323,1.0148
5,1,4979,6643,8697,1.3092
5,2,4979,137770,153766,1.1161
5,3,4979,181003,206913,1.1431
6,1,4979,916,1224,1.3357
6,2,4979,67869,78664,1.1591
6,3,4979,197898,234646,1.1857
7,1,4979,109,148,1.3608
7,2,4979,31731,38287,1.2066
7,3,4979,190553,231360,1.2141
8,1,4979,13,19,1.431
8,2,4979,25348,32148,1.2682
8,3,4979,1971704,2413279,1.224
9,1,4979,0,0,NA
9,2,4979,2030,2711,1.3356
9,3,4979,1899787,2419071,1.2733
10,1,4979,0,0,NA
10,2,4979,239,299,1.2522
10,3,4979,1149643,1475878,1.2838
11,1,4979,0,0,NA
11,2,4979,154,185,1.204
11,3,4979,813655,1048397,1.2885
1,1,4993,452008,156868,0.347
1,2,4993,132549,41832,0.3156
1,3,4993,20098,7254,0.3609
2,1,4993,139079,79252,0.5698
2,2,4993,167676,69470,0.4143
2,3,4993,61675,21606,0.3503
3,1,4993,51470,29219,0.5677
3,2,4993,151021,69121,0.4577
3,3,4993,90223,33252,0.3686
4,1,4993,16767,10043,0.599
4,2,4993,125004,62535,0.5003
4,3,4993,180741,67268,0.3722
5,1,4993,4634,2844,0.6137
5,2,4993,118513,60574,0.5111
5,3,4993,361273,139484,0.3861
6,1,4993,591,373,0.6306
6,2,4993,53401,27299,0.5112
6,3,4993,368772,146016,0.396
7,1,4993,65,42,0.6506
7,2,4993,22837,11461,0.5018
7,3,4993,338757,137268,0.4052
8,1,4993,7,5,0.7007
8,2,4993,16034,8189,0.5107
8,3,4993,3298300,1348726,0.4089
9,1,4993,0,0,NA
9,2,4993,1229,556,0.4524
9,3,4993,3308457,1430473,0.4324
10,1,4993,0,0,NA
10,2,4993,163,73,0.4473
10,3,4993,1907540,833070,0.4367
11,1,4993,0,0,NA
11,2,4993,118,51,0.4319
11,3,4993,1279779,561995,0.4391
1,1,5008,469332,3721,0.0079
1,2,5008,121589,847,0.007
1,3,5008,13494,158,0.0117
2,1,5008,144618,2000,0.0138
2,2,5008,160712,1520,0.0095
2,3,5008,41534,447,0.0108
3,1,5008,53497,724,0.0135
3,2,5008,144253,1500,0.0104
3,3,5008,56132,650,0.0116
4,1,5008,17676,258,0.0146
4,2,5008,127357,1532,0.012
4,3,5008,123439,1268,0.0103
5,1,5008,5010,74,0.0147
5,2,5008,120605,1476,0.0122
5,3,5008,214424,2769,0.0129
6,1,5008,661,10,0.0149
6,2,5008,55242,714,0.0129
6,3,5008,204590,2840,0.0139
7,1,5008,76,1,0.0144
7,2,5008,24363,355,0.0146
7,3,5008,174640,2534,0.0145
8,1,5008,9,0,0.0211
8,2,5008,21019,341,0.0162
8,3,5008,1704446,25037,0.0147
9,1,5008,0,0,NA
9,2,5008,2207,181,0.0818
9,3,5008,1392226,21328,0.0153
10,1,5008,0,0,NA
