agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
9,1,5684,0,0,NA
9,2,5684,6449,353,0.0547
9,3,5684,650660,23131,0.0355
10,1,5684,0,0,NA
10,2,5684,2585,391,0.1513
10,3,5684,340184,12172,0.0358
11,1,5684,0,0,NA
11,2,5684,3360,594,0.1767
11,3,5684,210147,7501,0.0357
1,1,6105,479865,36819,0.0767
1,2,6105,62073,6175,0.0995
1,3,6105,1451,139,0.0956
2,1,6105,179622,13567,0.0755
2,2,6105,115508,9813,0.085
2,3,6105,5985,534,0.0892
3,1,6105,69080,4507,0.0652
3,2,6105,113813,9820,0.0863
3,3,6105,9485,816,0.0861
4,1,6105,25113,1738,0.0692
4,2,6105,142103,11510,0.081
4,3,6105,28314,2550,0.09
5,1,6105,7712,540,0.07
5,2,6105,154413,14519,0.094
5,3,6105,57939,5563,0.096
6,1,6105,1120,84,0.0746
6,2,6105,87886,8980,0.1022
6,3,6105,64762,6486,0.1002
7,1,6105,142,12,0.0837
7,2,6105,48651,5116,0.1051
7,3,6105,63025,6470,0.1027
8,1,6105,19,2,0.1135
8,2,6105,64828,6705,0.1034
8,3,6105,716534,75220,0.105
9,1,6105,0,0,2
9,2,6105,8448,951,0.1126
9,3,6105,622843,66078,0.1061
10,1,6105,0,0,NA
10,2,6105,1626,267,0.1641
10,3,6105,368569,39545,0.1073
11,1,6105,0,0,NA
11,2,6105,952,222,0.2333
11,3,6105,257914,27786,0.1077
1,1,6330,507556,40455,0.0797
1,2,6330,95456,7554,0.0791
1,3,6330,4035,402,0.0996
2,1,6330,169087,14317,0.0847
2,2,6330,151866,10778,0.071
2,3,6330,15581,1421,0.0912
3,1,6330,63812,4873,0.0764
3,2,6330,142947,10468,0.0732
3,3,6330,23903,2128,0.089
4,1,6330,21994,1746,0.0794
4,2,6330,148723,11345,0.0763
4,3,6330,66407,5772,0.0869
5,1,6330,6349,512,0.0806
5,2,6330,144845,11869,0.0819
5,3,6330,128911,12301,0.0954
6,1,6330,854,71,0.083
6,2,6330,70479,6385,0.0906
6,3,6330,138014,13692,0.0992
7,1,6330,98,8,0.0848
7,2,6330,32985,3291,0.0998
7,3,6330,130527,13272,0.1017
8,1,6330,11,1,0.0945
8,2,6330,29338,3035,0.1035
8,3,6330,1371548,141243,0.103
9,1,6330,0,0,NA
9,2,6330,2585,284,0.1097
9,3,6330,1222814,129871,0.1062
10,1,6330,0,0,NA
10,2,6330,313,36,0.1139
10,3,6330,732856,78648,0.1073
11,1,6330,0,0,NA
11,2,6330,146,19,0.1321
11,3,6330,516088,55635,0.10780000000000001
1,1,6345,510642,24018,0.047
1,2,6345,84977,3911,0.046
1,3,6345,3000,135,0.045
2,1,6345,177787,6315,0.0355
2,2,6345,137710,5247,0.0381
2,3,6345,10934,448,0.0409
3,1,6345,69718,1878,0.0269
3,2,6345,129552,5027,0.0388
3,3,6345,15944,632,0.0396
4,1,6345,25021,702,0.028
4,2,6345,144077,5413,0.0376
4,3,6345,42588,1760,0.0413
5,1,6345,7718,217,0.0282
5,2,6345,148473,6664,0.0449
5,3,6345,78863,3545,0.0449
6,1,6345,1107,33,0.0297
6,2,6345,78856,3929,0.0498
6,3,6345,81258,3836,0.0472
7,1,6345,137,4,0.0322
7,2,6345,41090,2076,0.0505
7,3,6345,73689,3572,0.0485
8,1,6345,17,1,0.0403
8,2,6345,51674,2445,0.0473
8,3,6345,783979,38513,0.0491
9,1,6345,0,0,NA
9,2,6345,6630,393,0.0592
9,3,6345,641529,31752,0.0495
10,1,6345,0,0,NA
10,2,6345,1635,226,0.1381
10,3,6345,356645,17828,0.05
11,1,6345,0,0,NA
11,2,6345,1470,288,0.196
11,3,6345,234549,11756,0.0501
1,1,6359,536754,27483,0.0512
1,2,6359,128849,4694,0.0364
1,3,6359,11268,486,0.0431
2,1,6359,151465,5031,0.0332
2,2,6359,169034,5528,0.0327
2,3,6359,34626,1304,0.0376
3,1,6359,54897,1227,0.0223
3,2,6359,148577,4216,0.0284
3,3,6359,45980,1678,0.0365
4,1,6359,18132,415,0.0229
4,2,6359,134458,3992,0.0297
4,3,6359,104584,3623,0.0346
5,1,6359,5183,117,0.0226
5,2,6359,127227,3790,0.0298
5,3,6359,177024,6678,0.0377
6,1,6359,689,16,0.0232
6,2,6359,59550,2030,0.0341
6,3,6359,168042,6590,0.0392
7,1,6359,80,2,0.0241
7,2,6359,27151,1082,0.0398
7,3,6359,142590,5736,0.0402
8,1,6359,9,0,0.0231
8,2,6359,25617,1051,0.041
8,3,6359,1400479,56843,0.0406
9,1,6359,0,0,NA
9,2,6359,2479,113,0.0454
9,3,6359,1112646,46217,0.0415
10,1,6359,0,0,NA
10,2,6359,461,57,0.1232
10,3,6359,589499,24726,0.0419
11,1,6359,0,0,NA
11,2,6359,518,114,0.2201
11,3,6359,366973,15453,0.0421
1,1,6555,521906,75725,0.1451
1,2,6555,126176,17215,0.1364
1,3,6555,8995,1803,0.2005
2,1,6555,152286,31076,0.2041
2,2,6555,172315,26870,0.1559
2,3,6555,31665,5663,0.1788
3,1,6555,54417,10861,0.1996
3,2,6555,153986,24963,0.1621
3,3,6555,46816,8338,0.1781
4,1,6555,17734,3724,0.21
4,2,6555,138045,25153,0.1822
4,3,6555,117345,18864,0.1608
5,1,6555,4725,1018,0.2155
5,2,6555,127914,23342,0.1825
5,3,6555,222806,40136,0.1801
6,1,6555,593,131,0.2218
6,2,6555,58145,10666,0.1834
6,3,6555,233213,43493,0.1865
7,1,6555,64,15,0.2284
7,2,6555,25176,4678,0.1858
7,3,6555,218730,41802,0.1911
8,1,6555,7,2,0.2436
8,2,6555,18518,3677,0.1986
8,3,6555,2219081,423300,0.1908
9,1,6555,0,0,NA
9,2,6555,1445,303,0.2099
9,3,6555,2100401,426566,0.2031
10,1,6555,0,0,NA
10,2,6555,185,37,0.2009
10,3,6555,1270897,260658,0.2051
11,1,6555,0,0,NA
11,2,6555,120,24,0.1996
11,3,6555,899134,185319,0.2061
1,1,7019,508169,51992,0.1023
1,2,7019,152499,13277,0.0871
1,3,7019,24777,2143,0.0865
2,1,7019,135683,18052,0.133
2,2,7019,181297,18682,0.103
2,3,7019,72898,6195,0.085
3,1,7019,48047,6038,0.1257
3,2,7019,156946,16946,0.108
3,3,7019,105640,9173,0.0868
4,1,7019,15141,2032,0.1342
4,2,7019,126232,14642,0.116
4,3,7019,203272,18456,0.0908
5,1,7019,4050,562,0.1388
5,2,7019,117510,13733,0.1169
5,3,7019,408746,36993,0.0905
6,1,7019,499,72,0.1441
6,2,7019,52420,6146,0.1173
6,3,7019,417116,38274,0.0918
7,1,7019,53,8,0.1504
7,2,7019,22312,2594,0.1163
7,3,7019,384378,35767,0.0931
8,1,7019,5,1,0.1642
8,2,7019,15294,1812,0.1185
8,3,7019,3719372,348957,0.0938
9,1,7019,0,0,NA
9,2,7019,1174,120,0.1022
9,3,7019,3838891,373405,0.0973
10,1,7019,0,0,NA
10,2,7019,158,16,0.1033
10,3,7019,2218541,217543,0.0981
11,1,7019,0,0,NA
11,2,7019,119,12,0.1013
11,3,7019,1490659,146836,0.0985
1,1,20587,503563,13345,0.0265
1,2,20587,138269,2754,0.0199
1,3,20587,32925,501,0.0152
2,1,20587,133915,2059,0.0154
2,2,20587,157636,2605,0.0165
2,3,20587,79254,1052,0.0133
3,1,20587,50672,454,0.009
3,2,20587,141765,1788,0.0126
3,3,20587,119947,1382,0.0115
4,1,20587,16979,156,0.0092
4,2,20587,119602,1553,0.013
4,3,20587,175692,2220,0.0126
5,1,20587,5113,49,0.0096
5,2,20587,131840,1597,0.0121
5,3,20587,417880,4717,0.0113
6,1,20587,702,8,0.0107
6,2,20587,69504,834,0.012
6,3,20587,432286,4697,0.0109
7,1,20587,84,1,0.0122
7,2,20587,34980,410,0.0117
7,3,20587,380563,4178,0.011
8,1,20587,10,0,0.0119
8,2,20587,34288,442,0.0129
8,3,20587,3607156,41632,0.0115
9,1,20587,0,0,NA
9,2,20587,3591,48,0.0135
9,3,20587,3261456,38756,0.0119
10,1,20587,0,0,NA
10,2,20587,832,145,0.1741
10,3,20587,1433375,17160,0.012
11,1,20587,0,0,NA
11,2,20587,3769,857,0.2273
11,3,20587,717425,8414,0.0117
1,1,20599,445494,4977,0.0112
1,2,20599,142287,1365,0.0096
1,3,20599,36773,284,0.0077
2,1,20599,126221,594,0.0047
2,2,20599,158904,1026,0.0065
2,3,20599,85654,452,0.0053
3,1,20599,49362,79,0.0016
3,2,20599,142372,488,0.0034
3,3,20599,130368,402,0.0031
4,1,20599,16960,22,0.0013
4,2,20599,118705,355,0.003
4,3,20599,183257,553,0.003
5,1,20599,5274,6,0.0011
5,2,20599,131285,235,0.0018
5,3,20599,454188,793,0.0017
6,1,20599,738,1,0.0011
6,2,20599,69129,95,0.0014
6,3,20599,501451,670,0.0013
7,1,20599,90,0,8e-4
7,2,20599,35176,40,0.0011
7,3,20599,496471,535,0.0011
8,1,20599,11,0,0.0018
8,2,20599,33074,32,0.001
8,3,20599,4808462,4528,9e-4
9,1,20599,0,0,NA
9,2,20599,3318,3,0.001
9,3,20599,5557725,5160,9e-4
10,1,20599,0,0,NA
10,2,20599,482,57,0.1183
10,3,20599,2421177,2207,9e-4
11,1,20599,6,3,0.4177
11,2,20599,3113,759,0.2439
11,3,20599,1176501,1357,0.0012
1,1,20600,494792,10511,0.0212
1,2,20600,140982,2474,0.0175
1,3,20600,36024,503,0.014
2,1,20600,132787,1417,0.0107
2,2,20600,157787,2060,0.0131
2,3,20600,84146,892,0.0106
3,1,20600,50884,272,0.0054
3,2,20600,141093,1210,0.0086
3,3,20600,126457,987,0.0078
4,1,20600,17287,89,0.0051
4,2,20600,118454,988,0.0083
4,3,20600,180155,1506,0.0084
5,1,20600,5315,28,0.0053
5,2,20600,131242,926,0.0071
5,3,20600,436411,2958,0.0068
6,1,20600,744,4,0.0059
6,2,20600,69353,465,0.0067
6,3,20600,463498,2893,0.0062
7,1,20600,91,1,0.0067
7,2,20600,34907,222,0.0064
7,3,20600,417960,2488,0.006
8,1,20600,11,0,0.0097
8,2,20600,34324,237,0.0069
8,3,20600,3932722,24219,0.0062
9,1,20600,0,0,NA
9,2,20600,3689,44,0.012
9,3,20600,3605147,22166,0.0061
10,1,20600,0,0,1.1795
10,2,20600,2350,520,0.2212
10,3,20600,1507740,9152,0.0061
11,1,20600,51,17,0.3374
11,2,20600,12203,2314,0.1897
11,3,20600,709136,3744,0.0053
1,1,20612,454423,5130,0.0113
1,2,20612,142115,1637,0.0115
1,3,20612,38385,415,0.0108
2,1,20612,130225,571,0.0044
2,2,20612,157637,1169,0.0074
2,3,20612,87863,610,0.0069
3,1,20612,51532,70,0.0014
3,2,20612,141250,519,0.0037
3,3,20612,132346,493,0.0037
4,1,20612,17979,19,0.001
4,2,20612,118199,355,0.003
4,3,20612,184188,638,0.0035
5,1,20612,5709,4,7e-4
5,2,20612,131775,204,0.0016
5,3,20612,455053,778,0.0017
6,1,20612,817,1,7e-4
6,2,20612,69719,73,0.0011
6,3,20612,500704,579,0.0012
7,1,20612,102,0,8e-4
7,2,20612,35378,28,8e-4
7,3,20612,491144,422,9e-4
8,1,20612,13,0,8e-4
8,2,20612,33890,23,7e-4
8,3,20612,4711782,3405,7e-4
9,1,20612,0,0,0.3636
9,2,20612,3631,44,0.0122
9,3,20612,5035925,3871,8e-4
10,1,20612,71,25,0.3504
10,2,20612,5207,1217,0.2336
10,3,20612,2053987,2323,0.0011
11,1,20612,1839,429,0.2331
11,2,20612,27672,4609,0.1666
11,3,20612,915433,4112,0.0045
1,1,20613,496975,10271,0.0207
1,2,20613,141392,2753,0.0195
1,3,20613,38015,660,0.0174
2,1,20613,135254,1388,0.0103
2,2,20613,156777,2175,0.0139
2,3,20613,87010,1079,0.0124
3,1,20613,52489,267,0.0051
3,2,20613,139972,1225,0.0088
3,3,20613,129475,1099,0.0085
4,1,20613,18139,93,0.0051
4,2,20613,117704,983,0.0083
4,3,20613,181774,1628,0.009
5,1,20613,5709,32,0.0055
5,2,20613,131428,929,0.0071
5,3,20613,440414,3087,0.007
6,1,20613,820,5,0.0062
6,2,20613,69629,466,0.0067
6,3,20613,468485,2989,0.0064
7,1,20613,103,1,0.0064
7,2,20613,34609,219,0.0063
7,3,20613,418984,2517,0.006
8,1,20613,14,0,0.0062
8,2,20613,35482,248,0.007
8,3,20613,3903386,24329,0.0062
9,1,20613,2,1,0.4375
9,2,20613,5255,409,0.0779
9,3,20613,3378767,20923,0.0062
10,1,20613,276,81,0.2926
10,2,20613,16289,3087,0.1895
10,3,20613,1320204,7136,0.0054
11,1,20613,3657,738,0.2018
11,2,20613,46749,6287,0.1345
11,3,20613,560975,2637,0.0047
1,1,20626,507641,12642,0.0249
1,2,20626,139480,3626,0.026
1,3,20626,39030,1041,0.0267
2,1,20626,141221,2004,0.0142
2,2,20626,154500,2996,0.0194
2,3,20626,88152,1684,0.0191
3,1,20626,55547,513,0.0092
3,2,20626,138236,1848,0.0134
3,3,20626,129719,1755,0.0135
4,1,20626,19637,203,0.0103
4,2,20626,117176,1579,0.0135
4,3,20626,180823,2654,0.0147
5,1,20626,6363,74,0.0116
5,2,20626,132255,1683,0.0127
5,3,20626,434342,5385,0.0124
6,1,20626,943,12,0.0126
6,2,20626,69659,857,0.0123
6,3,20626,451610,5241,0.0116
7,1,20626,122,2,0.0123
7,2,20626,33296,408,0.0123
7,3,20626,382753,4361,0.0114
8,1,20626,31,1,0.0225
8,2,20626,38933,521,0.0134
8,3,20626,3504796,42671,0.0122
9,1,20626,2051,499,0.2433
9,2,20626,36557,5980,0.1636
9,3,20626,2633822,29818,0.0113
10,1,20626,15808,2579,0.1632
10,2,20626,88835,10607,0.1194
10,3,20626,892364,6907,0.0077
11,1,20626,34954,4183,0.1197
11,2,20626,97648,7760,0.0795
11,3,20626,304302,4822,0.0158
1,1,20730,481640,38689,0.0803
1,2,20730,49853,5859,0.1175
1,3,20730,931,97,0.1041
2,1,20730,197017,20187,0.1025
2,2,20730,98563,10141,0.1029
2,3,20730,4100,424,0.1035
3,1,20730,82026,8284,0.101
3,2,20730,104637,11781,0.1126
3,3,20730,6911,728,0.1053
4,1,20730,31589,3434,0.1087
4,2,20730,137993,14533,0.1053
4,3,20730,21736,2476,0.1139
5,1,20730,10112,1150,0.1137
5,2,20730,166644,21647,0.1299
5,3,20730,49053,6285,0.1281
6,1,20730,1523,184,0.1211
6,2,20730,103444,14808,0.1432
6,3,20730,58345,7934,0.136
7,1,20730,198,26,0.1327
7,2,20730,61736,9156,0.1483
7,3,20730,59362,8337,0.1404
8,1,20730,27,5,0.1762
8,2,20730,91827,13493,0.1469
8,3,20730,733323,106446,0.1452
9,1,20730,0,0,1.4118
9,2,20730,13006,2038,0.1567
9,3,20730,657161,96233,0.1464
10,1,20730,0,0,NA
10,2,20730,2609,569,0.2181
10,3,20730,390668,57944,0.1483
11,1,20730,0,0,NA
11,2,20730,1594,462,0.29
11,3,20730,273752,40788,0.149
1,1,20744,512666,43046,0.084
1,2,20744,88316,6792,0.0769
1,3,20744,4454,528,0.1186
2,1,20744,169919,17810,0.1048
2,2,20744,136780,11258,0.0823
2,3,20744,16170,1811,0.112
3,1,20744,65954,6616,0.1003
3,2,20744,133290,11751,0.0882
3,3,20744,24222,2767,0.1142
4,1,20744,23249,2482,0.1067
4,2,20744,138857,13472,0.097
4,3,20744,63229,6931,0.1096
5,1,20744,6901,759,0.11
5,2,20744,150922,15813,0.1048
5,3,20744,124617,15653,0.1256
6,1,20744,955,109,0.1143
6,2,20744,82243,9617,0.1169
6,3,20744,132801,17506,0.1318
7,1,20744,114,13,0.1184
7,2,20744,43503,5715,0.1314
7,3,20744,123969,16846,0.1359
8,1,20744,13,2,0.1355
8,2,20744,50246,7002,0.1394
8,3,20744,1343416,186717,0.139
9,1,20744,0,0,NA
9,2,20744,5659,846,0.1494
9,3,20744,1177846,167850,0.1425
10,1,20744,0,0,NA
10,2,20744,742,140,0.1893
10,3,20744,667234,96263,0.1443
11,1,20744,0,0,NA
11,2,20744,412,123,0.298
11,3,20744,442771,64225,0.1451
1,1,20757,483934,20161,0.0417
1,2,20757,129474,4152,0.0321
1,3,20757,22105,632,0.0286
2,1,20757,134186,4874,0.0363
2,2,20757,158549,5376,0.0339
2,3,20757,61830,1803,0.0292
3,1,20757,49553,1524,0.0308
3,2,20757,145468,4764,0.0327
3,3,20757,94232,2686,0.0285
4,1,20757,16199,520,0.0321
4,2,20757,124691,4339,0.0348
4,3,20757,163598,5086,0.0311
5,1,20757,4510,149,0.0331
5,2,20757,133702,4578,0.0342
